,word,frequency
0,food,74
1,good,51
2,like,45
3,place,45
4,get,44
5,really,39
6,would,37
7,service,37
8,order,35
9,ordered,34
10,one,34
11,time,33
12,back,32
13,go,29
14,didnt,29
15,got,29
16,dont,28
17,better,26
18,bad,26
19,coffee,25
20,wasnt,24
21,even,22
22,sandwich,22
23,cheese,22
24,im,21
25,great,21
26,going,20
27,asked,19
28,sauce,19
29,minutes,19
30,made,19
31,table,19
32,much,18
33,came,18
34,people,17
35,way,17
36,know,17
37,chicken,17
38,us,17
39,could,16
40,ok,16
41,two,16
42,told,15
43,make,15
44,went,15
45,also,15
46,location,15
47,restaurant,14
48,first,14
49,meat,14
50,take,14
51,cream,14
52,say,13
53,tables,13
54,staff,13
55,another,13
56,lot,13
57,spot,13
58,ice,13
59,try,13
60,day,13
61,said,13
62,either,12
63,times,12
64,used,12
65,area,12
66,else,12
67,wait,12
68,looking,12
69,best,12
70,line,12
71,fries,12
72,nothing,12
73,want,12
74,meal,12
75,eat,12
76,menu,11
77,though,11
78,places,11
79,tried,11
80,2,11
81,price,11
82,away,11
83,nice,11
84,ive,11
85,busy,11
86,around,11
87,waiting,11
88,counter,11
89,cant,10
90,fresh,10
91,love,10
92,trying,10
93,worth,10
94,pretty,10
95,parking,10
96,shrimp,10
97,beef,10
98,pizza,10
99,well,10
100,waiter,10
101,guy,10
102,small,10
103,wanted,9
104,flavor,9
105,find,9
106,every,9
107,waited,9
108,taste,9
109,mediocre,9
110,wont,9
111,however,9
112,probably,9
113,never,9
114,need,9
115,customers,9
116,extra,8
117,atmosphere,8
118,tasteless,8
119,took,8
120,last,8
121,least,8
122,inside,8
123,long,8
124,home,8
125,expect,8
126,dry,8
127,friendly,8
128,seemed,8
129,next,8
130,everyone,8
131,ask,8
132,ill,8
133,everything,8
134,fried,8
135,point,8
136,seated,8
137,experience,8
138,since,8
139,give,8
140,manager,8
141,water,8
142,call,8
143,large,8
144,come,8
145,cold,7
146,tacos,7
147,three,7
148,drinks,7
149,reviews,7
150,pancakes,7
151,tasted,7
152,bacon,7
153,visit,7
154,items,7
155,especially,7
156,open,7
157,coming,7
158,hot,7
159,beer,7
160,disappointed,7
161,anything,7
162,flavors,7
163,looked,7
164,customer,7
165,pay,7
166,server,7
167,different,7
168,hour,7
169,breakfast,7
170,selection,7
171,rude,7
172,look,7
173,size,7
174,wouldnt,6
175,average,6
176,hard,6
177,obviously,6
178,overall,6
179,must,6
180,white,6
181,drive,6
182,understand,6
183,ordering,6
184,mcdonalds,6
185,store,6
186,1,6
187,bar,6
188,left,6
189,things,6
190,5,6
191,werent,6
192,burger,6
193,lots,6
194,excited,6
195,phone,6
196,felt,6
197,still,6
198,husband,6
199,thing,6
200,whole,6
201,think,6
202,many,6
203,finally,6
204,lunch,6
205,reason,6
206,fan,6
207,without,6
208,served,6
209,waitress,6
210,plate,6
211,friend,6
212,eggs,6
213,pancake,6
214,quite,5
215,salsa,5
216,3,5
217,ever,5
218,decent,5
219,together,5
220,doesnt,5
221,big,5
222,30,5
223,several,5
224,little,5
225,drink,5
226,terrible,5
227,always,5
228,anyone,5
229,employees,5
230,bread,5
231,tell,5
232,old,5
233,usually,5
234,theyre,5
235,walked,5
236,space,5
237,super,5
238,isnt,5
239,huge,5
240,buffalo,5
241,bbq,5
242,see,5
243,leave,5
244,street,5
245,fast,5
246,brought,5
247,prices,5
248,maybe,5
