,word,frequency
0,good,87
1,food,54
2,place,46
3,service,36
4,would,35
5,like,34
6,time,33
7,go,33
8,great,31
9,much,28
10,coffee,28
11,pretty,26
12,get,26
13,one,24
14,order,23
15,dont,23
16,better,23
17,really,22
18,back,22
19,im,22
20,little,19
21,love,18
22,try,17
23,got,17
24,also,16
25,ice,16
26,breakfast,16
27,wasnt,16
28,want,15
29,cream,15
30,well,15
31,beer,15
32,location,15
33,people,15
34,ive,15
35,think,14
36,though,14
37,first,14
38,however,14
39,salad,14
40,bad,13
41,flavor,13
42,give,13
43,definitely,13
44,even,13
45,wait,13
46,ordered,13
47,always,13
48,tried,12
49,night,12
50,day,12
51,burger,12
52,since,12
53,long,11
54,pizza,11
55,cheese,11
56,ill,11
57,stars,11
58,3,11
59,probably,11
60,three,11
61,know,11
62,bit,11
63,find,11
64,still,11
65,chicken,11
66,take,10
67,times,10
68,usually,10
69,items,10
70,nice,10
71,menu,10
72,1,10
73,could,10
74,didnt,10
75,different,10
76,youre,10
77,drink,10
78,visit,10
79,said,10
80,hot,10
81,ok,10
82,came,10
83,experience,9
84,maybe,9
85,two,9
86,sure,9
87,sweet,9
88,price,9
89,average,9
90,fries,9
91,large,9
92,bar,9
93,nothing,9
94,lunch,9
95,area,9
96,looking,9
97,5,9
98,prices,9
99,store,9
100,around,9
101,make,9
102,2,8
103,restaurant,8
104,best,8
105,pancakes,8
106,side,8
107,tea,8
108,hard,8
109,friendly,8
110,cant,8
111,id,8
112,minutes,8
113,us,8
114,put,8
115,big,8
116,need,8
117,lot,8
118,new,8
119,actually,8
120,seafood,8
121,excellent,8
122,decent,8
123,say,8
124,delicious,8
125,tasty,8
126,never,7
127,way,7
128,another,7
129,burgers,7
130,group,7
131,meal,7
132,kind,7
133,something,7
134,next,7
135,thats,7
136,went,7
137,everything,7
138,enjoy,7
139,slow,7
140,fine,7
141,dry,7
142,awesome,7
143,years,7
144,easy,7
145,meat,7
146,spot,7
147,fried,7
148,doesnt,7
149,see,7
150,deal,7
151,seemed,7
152,small,7
153,table,7
154,fresh,7
155,going,6
156,hours,6
157,done,6
158,couple,6
159,overall,6
160,tasted,6
161,late,6
162,flavors,6
163,else,6
164,12,6
165,reason,6
166,seems,6
167,worth,6
168,staff,6
169,line,6
170,street,6
171,review,6
172,happy,6
173,top,6
174,cup,6
175,hour,6
176,outside,6
177,check,6
178,last,6
179,crab,6
180,right,6
181,room,6
182,bread,6
183,come,5
184,ended,5
185,serve,5
186,star,5
187,sandwich,5
188,chocolate,5
189,thought,5
190,plenty,5
191,busy,5
192,super,5
193,asked,5
194,away,5
195,wanted,5
196,things,5
197,attitude,5
198,sugar,5
199,eating,5
200,wont,5
201,chose,5
202,either,5
203,server,5
204,trying,5
205,made,5
206,atmosphere,5
207,liked,5
208,ever,5
209,home,5
210,dessert,5
211,places,5
212,help,5
213,kids,5
214,others,5
215,inside,5
216,high,5
217,feeling,5
218,mean,5
219,cheap,5
220,cold,5
221,visited,5
222,least,5
223,taste,5
224,without,5
225,ask,5
226,thing,5
227,expect,5
228,chips,5
229,salsa,5
230,togo,5
231,quick,5
232,cost,5
233,courtyard,5
234,gravy,5
235,end,4
236,many,4
237,based,4
238,enough,4
239,beers,4
240,fan,4
241,friends,4
242,unfortunately,4
243,plus,4
244,anything,4
245,despite,4
246,hype,4
247,expensive,4
248,8,4
249,bison,4
250,iced,4
251,lovely,4
252,work,4
253,huge,4
254,makes,4
255,full,4
256,cool,4
257,options,4
258,employees,4
259,30,4
260,cafe,4
261,clean,4
262,close,4
263,rice,4
264,cook,4
265,friday,4
266,hit,4
267,believe,4
268,customer,4
269,money,4
270,4,4
271,shrimp,4
272,seating,4
273,gave,4
274,person,4
275,orders,4
276,south,4
277,stuff,4
278,space,4
279,simply,4
280,took,4
281,amount,4
282,lacked,4
283,almost,4
284,onion,4
285,rings,4
286,okay,4
287,seated,4
288,live,4
289,look,4
290,selection,4
291,served,4
292,please,4
293,possible,4
294,theres,4
295,perfect,4
296,sorry,4
297,awful,4
298,alone,4
299,sides,4
300,comes,4
301,leave,4
302,black,4
303,rest,4
304,working,4
305,morning,4
306,answer,4
307,dip,4
308,item,4
309,every,4
310,pleasant,3
311,waiting,3
312,diner,3
313,become,3
314,open,3
315,sauce,3
316,extra,3
317,soup,3
318,type,3
319,lemon,3
320,perhaps,3
321,italian,3
322,especially,3
323,stopped,3
324,found,3
325,milkshake,3
326,thick,3
327,point,3
328,special,3
329,10,3
330,bbq,3
331,call,3
332,music,3
333,shop,3
334,told,3
335,free,3
336,yummy,3
337,sunday,3
338,telling,3
339,hear,3
340,waited,3
341,potato,3
342,longer,3
343,15,3
344,pay,3
345,guy,3
346,return,3
347,office,3
348,choices,3
349,prepared,3
350,previous,3
351,customers,3
352,kept,3
353,servers,3
354,often,3
355,keep,3
356,coming,3
357,miss,3
358,magasin,3
359,restaurants,3
360,continue,3
361,beef,3
362,salty,3
363,walgreens,3
364,sometimes,3
365,city,3
366,dinner,3
367,drinks,3
368,buy,3
369,overpriced,3
370,philly,3
371,standard,3
372,size,3
373,sit,3
374,family,3
375,fair,3
376,problem,3
377,mix,3
378,variety,3
379,value,3
380,ie,3
381,trader,3
382,joes,3
383,whole,3
384,finally,3
385,town,3
386,needs,3
387,shopping,3
388,produce,3
389,break,3
390,stop,3
391,tomato,3
392,reviews,3
393,falafel,3
394,sitting,3
395,impressed,3
396,35,3
397,white,3
398,getting,3
399,felt,3
400,difficult,3
401,head,3
402,front,3
403,seem,3
404,taps,3
405,eggs,3
406,bagels,3
407,ordering,3
408,barely,3
409,must,3
410,dead,3
411,avoid,3
412,water,3
413,bag,3
414,husband,3
415,stores,3
416,dining,3
417,snack,3
418,shes,3
419,twice,3
420,grab,3
421,everyone,3
422,milk,3
423,parking,3
424,given,3
425,rating,3
426,entrees,3
427,breadsticks,3
428,request,3
429,manager,3
430,werent,3
431,cousins,3
432,cheaper,3
433,matter,3
434,loved,3
435,sandwiches,3
436,section,3
437,nearby,3
438,less,3
439,solid,3
440,theyre,3
441,course,3
442,dog,3
443,style,3
444,ambiance,3
445,second,3
446,third,3
447,local,3
448,weather,3
449,choose,3
450,panda,3
451,express,3
452,hotel,3
453,juice,3
454,biscuits,3
455,sausage,3
456,birite,3
457,campus,3
458,hes,3
459,decide,2
460,eat,2
461,locations,2
462,young,2
463,indiana,2
464,tenderloins,2
465,excited,2
466,margherita,2
467,none,2
468,toppings,2
469,added,2
470,true,2
471,opinion,2
472,appetizer,2
473,sticking,2
474,future,2
475,visits,2
476,sadly,2
477,weak,2
478,tuna,2
479,melt,2
480,overpowering,2
481,baked,2
482,milkshakes,2
483,taking,2
484,blackwhite,2
485,satisfied,2
486,amazing,2
487,isnt,2
488,run,2
489,anywhere,2
490,slightly,2
491,share,2
492,beautiful,2
493,building,2
494,biggest,2
495,loud,2
496,conversation,2
497,plays,2
498,luck,2
499,beverage,2
500,totally,2
501,putting,2
502,sat,2
503,bartender,2
504,started,2
505,several,2
506,varieties,2
507,memorable,2
508,six,2
509,behind,2
510,near,2
511,normal,2
512,highly,2
513,recommend,2
514,mostly,2
515,steak,2
516,write,2
517,quality,2
518,poor,2
519,extremely,2
520,dirty,2
521,unless,2
522,may,2
523,tip,2
524,kebab,2
525,babaghanoush,2
526,improve,2
527,ramadan,2
528,buffet,2
529,attractive,2
530,830,2
531,early,2
532,forward,2
533,crowd,2
534,noise,2
535,tables,2
536,quite,2
537,minute,2
538,loyal,2
539,weekly,2
540,pho,2
541,chopped,2
542,seasoned,2
543,waitress,2
544,initial,2
545,kinda,2
546,higher,2
547,points,2
548,tiny,2
549,hopes,2
550,seeing,2
551,gets,2
552,sad,2
553,suppose,2
554,burritos,2
555,enchiladas,2
556,generally,2
557,support,2
558,portions,2
559,asking,2
560,plates,2
561,kinds,2
562,wish,2
563,tuesday,2
564,lacking,2
565,sticky,2
566,wiped,2
567,understandable,2
568,knew,2
569,pork,2
570,belly,2
571,tacos,2
572,spicy,2
573,pear,2
574,expectations,2
575,set,2
576,wife,2
577,cioppino,2
578,clam,2
579,chowder,2
580,consistency,2
581,greasy,2
582,yes,2
583,admit,2
584,rated,2
585,regular,2
586,bakery,2
587,greens,2
588,salami,2
589,smoked,2
590,turkey,2
591,beans,2
592,ingredients,2
593,advertised,2
594,flavorful,2
595,chance,2
596,stick,2
597,salads,2
598,exactly,2
599,frozen,2
600,lots,2
601,quickly,2
602,bubble,2
603,kitchen,2
604,ate,2
605,received,2
606,pieces,2
607,half,2
608,piece,2
609,lettuce,2
610,substitute,2
611,tend,2
612,stale,2
613,eaten,2
614,tap,2
615,business,2
616,bier,2
617,constantly,2
618,fun,2
619,favorite,2
620,improving,2
621,score,2
622,cooked,2
623,trust,2
624,unique,2
625,wash,2
626,hands,2
627,used,2
628,phone,2
629,bother,2
630,arrived,2
631,saturday,2
632,syrup,2
633,prefer,2
634,albeit,2
635,cute,2
636,quaint,2
637,charm,2
638,decor,2
639,wouldnt,2
640,feel,2
641,potatoes,2
642,bland,2
643,veggies,2
644,omelette,2
645,forgot,2
646,ago,2
647,ensure,2
648,temp,2
649,noticed,2
650,evening,2
651,enjoyed,2
652,heavy,2
653,moist,2
654,shellfish,2
655,enthusiast,2
656,acme,2
657,smaller,2
658,looks,2
659,theyve,2
660,wrong,2
661,attention,2
662,children,2
663,employee,2
664,bartenders,2
665,attentive,2
666,worst,2
667,refill,2
668,forever,2
669,bring,2
670,appetizers,2
671,subpar,2
672,string,2
673,part,2
674,statement,2
675,expected,2
676,fill,2
677,paid,2
678,nonetheless,2
679,cakes,2
680,wouldve,2
681,counter,2
682,deliver,2
683,rush,2
684,upon,2
685,itd,2
686,outstanding,2
687,mediterranean,2
688,guys,2
689,lit,2
690,complaints,2
691,buttermilk,2
692,bites,2
693,available,2
694,brown,2
695,sundae,2
696,oh,2
697,donuts,2
698,mac,2
699,disappointing,2
700,including,2
701,energy,2
702,candy,2
703,mussels,2
704,garlic,2
705,making,2
706,main,2
707,9,2
708,stand,2
709,visiting,2
710,brisket,2
711,terrible,2
712,stock,2
713,brand,2
714,arent,2
715,bucks,2
716,worse,2
717,fast,2
718,instead,2
719,basic,2
720,breweries,2
721,warm,2
722,hummus,2
723,epic,2
724,risk,2
725,ps,2
726,real,2
727,recently,2
728,friend,2
729,enjoying,2
730,eh,2
731,crazy,2
732,care,2
733,except,2
734,warmer,2
735,convenient,2
736,package,2
737,pc,2
738,called,2
739,chicory,2
740,tampa,2
741,alcoholic,2
742,guacamole,2
743,priced,2
744,mexican,2
745,option,2
746,figured,2
747,georges,2
748,chix,2
749,alright,2
750,crowds,2
751,deli,2
752,covered,2
753,flight,2
754,pita,2
755,placed,2
756,pralines,2
757,stl,2
758,winter,2
759,blue,2
760,lb,2
761,figure,2
762,days,2
763,view,2
764,tarp,2
765,inclement,2
766,steam,2
767,trays,2
768,la,2
769,scrambled,2
770,bacon,2
771,breads,2
772,man,2
773,truly,2
774,trip,2
775,breaks,2
776,richie,2
777,aware,1
778,beginning,1
779,multiple,1
780,nj,1
781,takes,1
782,waitstaff,1
783,experiences,1
784,spent,1
785,opt,1
786,weekends,1
787,quicker,1
788,upland,1
789,brewery,1
790,bloomington,1
791,popular,1
792,additional,1
793,central,1
794,therefore,1
795,par,1
796,crackerlike,1
797,crust,1
798,light,1
799,red,1
800,typical,1
801,uplands,1
802,might,1
803,choice,1
804,merited,1
805,design,1
806,concept,1
807,tomatobasil,1
808,marinara,1
809,sharp,1
810,offputting,1
811,citrusy,1
812,zest,1
813,focus,1
814,dishes,1
815,cured,1
816,meats,1
817,mortadella,1
818,prosciutto,1
819,goods,1
820,sounded,1
821,nutella,1
822,bruschetta,1
823,creamnot,1
824,fully,1
825,advantage,1
826,name,1
827,implies,1
828,malt,1
829,craving,1
830,thicker,1
831,goes,1
832,settled,1
833,creamy,1
834,sample,1
835,setting,1
836,pumpkin,1
837,pie,1
838,pancake,1
839,disorganized,1
840,serves,1
841,particularly,1
842,couldnt,1
843,split,1
844,fry,1
845,37,1
846,rather,1
847,ridiculous,1
848,interesting,1
849,ruin,1
850,tainted,1
851,unnecessary,1
852,slaw,1
853,carolina,1
854,placethe,1
855,mercer,1
856,spaciousness,1
857,baristas,1
858,important,1
859,cons,1
860,constant,1
861,ruining,1
862,read,1
863,reflect,1
864,turned,1
865,cantit,1
866,level,1
867,speakers,1
868,everywhere,1
869,sucks,1
870,secondly,1
871,drinker,1
872,pots,1
873,sloppy,1
874,individual,1
875,filtersit,1
876,ungainly,1
877,pros,1
878,gluten,1
879,goodies,1
880,sodas,1
881,spend,1
882,drives,1
883,afternoon,1
884,handful,1
885,greeted,1
886,worries,1
887,sampled,1
888,styles,1
889,snit,1
890,relief,1
891,blown,1
892,discussion,1
893,patrons,1
894,damper,1
895,830am,1
896,raspberry,1
897,san,1
898,antonio,1
899,spice,1
900,understand,1
901,skipping,1
902,heading,1
903,fido,1
904,insanely,1
905,past,1
906,excuses,1
907,blame,1
908,sold,1
909,outing,1
910,number,1
911,members,1
912,bill,1
913,lamb,1
914,shish,1
915,plate,1
916,aroma,1
917,olive,1
918,oil,1
919,presentation,1
920,dish,1
921,measured,1
922,marinated,1
923,month,1
924,start,1
925,connoisseur,1
926,thrown,1
927,simple,1
928,wa,1
929,v,1
930,artsy,1
931,watching,1
932,studying,1
933,headphones,1
934,block,1
935,stuck,1
936,listening,1
937,watever,1
938,preference,1
939,cleaning,1
940,20,1
941,rip,1
942,obviously,1
943,hitting,1
944,mark,1
945,fall,1
946,vietnamese,1
947,closerd,1
948,renovations,1
949,kitcheb,1
950,curb,1
951,cravings,1
952,paying,1
953,deters,1
954,ranking,1
955,tina,1
956,noodles,1
957,oily,1
958,spring,1
959,rolls,1
960,earned,1
961,chaotic,1
962,arrangement,1
963,owner,1
964,reminded,1
965,teeny,1
966,chinese,1
967,weekend,1
968,elf,1
969,villains,1
970,collection,1
971,holidays,1
972,particular,1
973,according,1
974,cosmetics,1
975,skulk,1
976,frequented,1
977,mad,1
978,mex,1
979,university,1
980,pleased,1
981,closer,1
982,obnoxious,1
983,students,1
984,trained,1
985,chaos,1
986,management,1
987,deals,1
988,7,1
989,margaritas,1
990,wings,1
991,gaucamole,1
992,hang,1
993,improves,1
994,independent,1
995,chain,1
996,placesi,1
997,center,1
998,phila,1
999,roomier,1
1000,closets,1
1001,mother,1
1002,law,1
1003,birthdaybut,1
1004,jaw,1
1005,droppingquite,1
1006,online,1
1007,okand,1
1008,bus,1
1009,sync,1
1010,waiteras,1
1011,waiter,1
1012,dessertsand,1
1013,bathroom,1
1014,accomodate,1
1015,play,1
1016,reserved,1
1017,advance,1
1018,cleanliness,1
1019,fork,1
1020,itso,1
1021,assumption,1
1022,hadnt,1
1023,yuck,1
1024,party,1
1025,wed,1
1026,individually,1
1027,became,1
1028,caramelization,1
1029,tender,1
1030,perfectly,1
1031,balanced,1
1032,adding,1
1033,accompanying,1
1034,bean,1
1035,sprouts,1
1036,limes,1
1037,processing,1
1038,payment,1
1039,arduous,1
1040,lyft,1
1041,driver,1
1042,edge,1
1043,sea,1
1044,foodlack,1
1045,pass,1
1046,mayo,1
1047,nonexistent,1
1048,overlooking,1
1049,ocean,1
1050,selective,1
1051,tends,1
1052,hugely,1
1053,ironic,1
1054,wf,1
1055,reposition,1
1056,elsewhere,1
1057,displays,1
1058,smugness,1
1059,foods,1
1060,snark,1
1061,enormous,1
1062,stocked,1
1063,yuppie,1
1064,market,1
1065,reno,1
1066,national,1
1067,geographic,1
1068,outdoors,1
1069,retail,1
1070,rei,1
1071,seriously,1
1072,odd,1
1073,stopover,1
1074,drool,1
1075,inducing,1
1076,selections,1
1077,budget,1
1078,bought,1
1079,struck,1
1080,fancy,1
1081,proximity,1
1082,freeway,1
1083,distance,1
1084,395,1
1085,80,1
1086,ideal,1
1087,tofrom,1
1088,airport,1
1089,monthly,1
1090,fellow,1
1091,colleagues,1
1092,assigned,1
1093,delivered,1
1094,consists,1
1095,mixed,1
1096,garbanzo,1
1097,parmesan,1
1098,house,1
1099,vinaigrette,1
1100,italianesque,1
1101,anitpasto,1
1102,antipasto,1
1103,cmonthis,1
1104,boring,1
1105,throw,1
1106,olives,1
1107,artichoke,1
1108,hearts,1
1109,sliced,1
1110,pepperoncinis,1
1111,tastebuds,1
1112,charge,1
1113,dollars,1
1114,inventive,1
1115,glowing,1
1116,panini,1
1117,summer,1
1118,lunches,1
1119,wrapbut,1
1120,cavelike,1
1121,uninviting,1
1122,manayunk,1
1123,yogurt,1
1124,froyo,1
1125,combinations,1
1126,weigh,1
1127,active,1
1128,j,1
1129,brick,1
1130,walls,1
1131,rustic,1
1132,furniture,1
1133,lighting,1
1134,nay,1
1135,blind,1
1136,date,1
1137,timely,1
1138,couldve,1
1139,accommodating,1
1140,opened,1
1141,ravioli,1
1142,1113,1
1143,substituting,1
1144,er,1
1145,kidding,1
1146,modification,1
1147,bun,1
1148,lobster,1
1149,needless,1
1150,unable,1
1151,unforgivable,1
1152,birthday,1
1153,cakesi,1
1154,cupcakes,1
1155,cookies,1
1156,timesalthough,1
1157,complained,1
1158,carry,1
1159,understaffed,1
1160,cosi,1
1161,travel,1
1162,flatbreads,1
1163,flatbread,1
1164,portion,1
1165,let,1
1166,heard,1
1167,indianapolis,1
1168,rotates,1
1169,means,1
1170,challenging,1
1171,create,1
1172,revolving,1
1173,week,1
1174,relaxing,1
1175,talking,1
1176,lounge,1
1177,3stars,1
1178,fare,1
1179,provenale,1
1180,herbs,1
1181,seasonings,1
1182,inconsistently,1
1183,omelets,1
1184,executed,1
1185,pastries,1
1186,impressive,1
1187,horrendously,1
1188,whats,1
1189,misspellings,1
1190,menus,1
1191,misspelling,1
1192,language,1
1193,dunedin,1
1194,wear,1
1195,gloves,1
1196,nose,1
1197,bagel,1
1198,running,1
1199,est,1
1200,helped,1
1201,cinnamon,1
1202,topped,1
1203,borderline,1
1204,hash,1
1205,browns,1
1206,jar,1
1207,apply,1
1208,2443,1
1209,pretip,1
1210,paper,1
1211,towels,1
1212,restroom,1
1213,dogshow,1
1214,passing,1
1215,belmawr,1
1216,needed,1
1217,satisfy,1
1218,tooth,1
1219,lived,1
1220,trips,1
1221,note,1
1222,pretentious,1
1223,intimidating,1
1224,shouldnt,1
1225,neat,1
1226,unlike,1
1227,diners,1
1228,yankee,1
1229,pot,1
1230,roastwhich,1
1231,okmashed,1
1232,year,1
1233,ecoli,1
1234,colliform,1
1235,scare,1
1236,concern,1
1237,health,1
1238,safety,1
1239,darn,1
1240,shame,1
1241,confident,1
1242,act,1
1243,suggestion,1
1244,reaches,1
1245,optimum,1
1246,165f,1
1247,bacteria,1
1248,source,1
1249,usa,1
1250,sources,1
1251,mexico,1
1252,issues,1
1253,pollution,1
1254,crosscontamination,1
1255,latest,1
1256,eats,1
1257,drive,1
1258,veggie,1
1259,etc,1
1260,bummed,1
1261,far,1
1262,wharf,1
1263,loves,1
1264,noisy,1
1265,uninspiring,1
1266,literally,1
1267,nonseafood,1
1268,happily,1
1269,surprised,1
1270,aisles,1
1271,narrower,1
1272,wide,1
1273,upgraded,1
1274,areas,1
1275,frozenrefrigerated,1
1276,sections,1
1277,todd,1
1278,cobell,1
1279,skimpy,1
1280,booth,1
1281,sleep,1
1282,brought,1
1283,concerned,1
1284,mount,1
1285,laurels,1
1286,border,1
1287,50,1
1288,pablos,1
1289,fell,1
1290,borders,1
1291,spicier,1
1292,90,1
1293,specials,1
1294,weekdays,1
1295,dine,1
1296,vegetarian,1
1297,lately,1
1298,grown,1
1299,hitormiss,1
1300,joann,1
1301,funny,1
1302,gotten,1
1303,named,1
1304,nikki,1
1305,checks,1
1306,meus,1
1307,unfriendly,1
1308,taken,1
1309,refilled,1
1310,moderate,1
1311,today,1
1312,helpful,1
1313,wanting,1
1314,slices,1
1315,cake,1
1316,marshmallow,1
1317,cheesecake,1
1318,receive,1
1319,inefficient,1
1320,manner,1
1321,boxes,1
1322,stacked,1
1323,loosely,1
1324,tied,1
1325,admire,1
1326,aesthetics,1
1327,preferred,1
1328,barista,1
1329,filled,1
1330,halfway,1
1331,pick,1
1332,sugars,1
1333,packets,1
1334,stated,1
1335,considered,1
1336,incompetent,1
1337,dissolve,1
1338,proceeded,1
1339,handing,1
1340,stir,1
1341,practically,1
1342,halfcoffee,1
1343,halfmild,1
1344,smiled,1
1345,walked,1
1346,throwing,1
1347,hardly,1
1348,fond,1
1349,process,1
1350,bigger,1
1351,rittenhouse,1
1352,tell,1
1353,favorites,1
1354,groothie,1
1355,glad,1
1356,udon,1
1357,noodle,1
1358,45,1
1359,lackluster,1
1360,ahh,1
1361,kicks,1
1362,buddy,1
1363,heads,1
1364,advertise,1
1365,chore,1
1366,hire,1
1367,manning,1
1368,register,1
1369,placing,1
1370,dinein,1
1371,idea,1
1372,fazolis,1
1373,minor,1
1374,inconveniences,1
1375,bite,1
1376,reminds,1
1377,truck,1
1378,hits,1
1379,improved,1
1380,ripped,1
1381,easier,1
1382,justify,1
1383,bunch,1
1384,barclub,1
1385,scenes,1
1386,entire,1
1387,dimly,1
1388,hodgepodge,1
1389,wall,1
1390,mural,1
1391,outer,1
1392,rhyme,1
1393,strange,1
1394,north,1
1395,joint,1
1396,grocer,1
1397,considering,1
1398,inconvenient,1
1399,post5pm,1
1400,essentials,1
1401,bike,1
1402,ride,1
1403,apartment,1
1404,fact,1
1405,headed,1
1406,tomorrow,1
1407,willing,1
1408,firstly,1
1409,specifically,1
1410,slider,1
1411,picture,1
1412,showed,1
1413,biscuit,1
1414,lady,1
1415,brother,1
1416,buttered,1
1417,glazed,1
1418,sliders,1
1419,catfishokay,1
1420,adorable,1
1421,likely,1
1422,venture,1
1423,club,1
1424,creamed,1
1425,spinach,1
1426,n,1
1427,upcharge,1
1428,giving,1
1429,yet,1
1430,determined,1
1431,beignets,1
1432,metarie,1
1433,du,1
1434,monde,1
1435,twenty,1
1436,decatur,1
1437,straws,1
1438,environmental,1
1439,reasons,1
1440,ur,1
1441,mixers,1
1442,girlzzzz,1
1443,eve,1
1444,margarita,1
1445,getz,1
1446,thumbs,1
1447,itz,1
1448,worn,1
1449,signs,1
1450,intrigue,1
1451,biked,1
1452,passed,1
1453,16th,1
1454,ton,1
1455,wondering,1
1456,terms,1
1457,gumball,1
1458,machine,1
1459,empty,1
1460,machines,1
1461,absent,1
1462,plethora,1
1463,hope,1
1464,specializing,1
1465,breaded,1
1466,fish,1
1467,fillets,1
1468,clams,1
1469,crabs,1
1470,threw,1
1471,caution,1
1472,winds,1
1473,tasker,1
1474,platters,1
1475,butter,1
1476,950,1
1477,complaint,1
1478,unacceptable,1
1479,closed,1
1480,shells,1
1481,sized,1
1482,unexpectedly,1
1483,broth,1
1484,wrap,1
1485,messy,1
1486,spilled,1
1487,remember,1
1488,sneaking,1
1489,shrimps,1
1490,125,1
1491,edit,1
1492,712,1
1493,changed,1
1494,caught,1
1495,3rd,1
1496,hankering,1
1497,greek,1
1498,med,1
1499,reply,1
1500,vendor,1
1501,joke,1
1502,opinions,1
1503,huuuuuuuuuuuuuge,1
1504,short,1
1505,suffice,1
1506,sucked,1
1507,tasteless,1
1508,gyros,1
1509,savory,1
1510,barrestaurant,1
1511,offerings,1
1512,grits,1
1513,missing,1
1514,blemish,1
1515,otherwise,1
1516,walmart,1
1517,located,1
1518,meadowlark,1
1519,doctors,1
1520,supercentre,1
1521,limited,1
1522,basics,1
1523,snacks,1
1524,canned,1
1525,lightbulbs,1
1526,efficient,1
1527,pricier,1
1528,finding,1
1529,associates,1
1530,count,1
1531,younger,1
1532,racing,1
1533,carts,1
1534,outs,1
1535,cashiers,1
1536,ups,1
1537,johnny,1
1538,rockets,1
1539,pricey,1
1540,outta,1
1541,67,1
1542,route,1
1543,66,1
1544,13,1
1545,pound,1
1546,soft,1
1547,roll,1
1548,lean,1
1549,damn,1
1550,satisfying,1
1551,friesrings,1
1552,freezer,1
1553,affair,1
1554,suggest,1
1555,cheesesteak,1
1556,shake,1
1557,costs,1
1558,kid,1
1559,char,1
1560,marinade,1
1561,dryer,1
1562,arab,1
1563,felafel,1
1564,acceptable,1
1565,standards,1
1566,america,1
1567,yelled,1
1568,walk,1
1569,mamas,1
1570,fleur,1
1571,de,1
1572,liis,1
1573,mocha,1
1574,kick,1
1575,hell,1
1576,key,1
1577,life,1
1578,brightly,1
1579,paced,1
1580,moving,1
1581,volcano,1
1582,buffalo,1
1583,celery,1
1584,silly,1
1585,tortilla,1
1586,sprinkle,1
1587,cilantro,1
1588,avocado,1
1589,dressing,1
1590,hopefully,1
1591,cheeseless,1
1592,surprisingly,1
1593,weirdo,1
